"Country or Territory","Station Name","WMO Station Number","National Station Id Number","Period","Element-Statistic Qualifier Code","Statistic Description","Unit","Jan","Jan Footnotes","Feb","Feb Footnotes","Mar","Mar Footnotes","Apr","Apr Footnotes","May","May Footnotes","Jun","Jun Footnotes","Jul","Jul Footnotes","Aug","Aug Footnotes","Sep","Sep Footnotes","Oct","Oct Footnotes","Nov","Nov Footnotes","Dec","Dec Footnotes","Annual","Annual Footnotes","Annual NCDC Computed Value","Annual NCDC Computed Value Footnotes"
"CANADA","MAYO A , YT","71965","02100700","1924-1990","","Mean Daily Value","mm","0.1","","0.0","","0.3","","0.9","","6.6","","10.8","","13.8","","11.6","","9.5","","4.5","","0.4","","0.2","","17.6","","-9999.9","1"
"CANADA","MAYO A , YT","71965","02100700","1924-1990","","Maximum Daily Value","mm","1.4","","0.3","","14.5","","20.3","","25.4","","27.9","","29.2","","31.8","","23.6","","12.0","","6.6","","5.0","","31.8","","-9999.9","1"
"CANADA","MAYO A , YT","71965","02100700","1924-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","198502","","193824","","194717","","192613","","193926","","197618","","197614","","193227","","195919","","198003","","194722","","198520","","-9999","","-9999",""
"CANADA","MAYO A , YT","71965","02100700","1925-1990","","Mean Monthly Value","mm","0.0","","0.0","","0.5","","1.3","","19.9","","40.1","","54.5","","42.3","","32.0","","10.1","","0.4","","0.2","","201.4","","201.3",""
"CANADA","MAYO A , YT","71965","02100700","1924-1990","06","Number of Years used to Calculate Normal","mm","30","","30","","30","","29","","30","","30","","30","","30","","30","","29","","30","","30","","-9999.9","1","-9999.9","1"
"CANADA","MAYO A , YT","71965","02100700","1925-1990","15","Number of Years used to Calculate Normal","mm","30","","30","","30","","29","","30","","30","","30","","30","","30","","29","","29","","30","","-9999.9","1","-9999.9","1"
"CANADA","BURWASH A , YT","71967","02100182","1966-1990","","Mean Daily Value","mm","0.1","","0.1","","0.0","","0.5","","6.8","","14.6","","16.6","","13.6","","8.2","","1.4","","0.1","","0.0","","22.4","","-9999.9","1"
"CANADA","BURWASH A , YT","71967","02100182","1966-1990","","Maximum Daily Value","mm","3.6","","0.6","","0.0","","4.4","","18.4","","36.8","","38.4","","27.3","","18.5","","5.8","","2.5","","0.2","","38.4","","-9999.9","1"
"CANADA","BURWASH A , YT","71967","02100182","1966-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","198119","","198207","","199181","","198330","","198731","","197228","","196805","","198715","","196709","","197503","","197403","","198913","","-9999","","-9999",""
"CANADA","BURWASH A , YT","71967","02100182","1966-1990","","Mean Monthly Value","mm","0.2","","0.0","","0.0","","0.6","","14.4","","47.0","","65.5","","40.8","","19.9","","2.0","","0.1","","0.0","","190.6","","190.5",""
"CANADA","BURWASH A , YT","71967","02100182","1966-1990","06","Number of Years used to Calculate Normal","mm","24","","24","","24","","24","","24","","24","","24","","24","","23","","24","","25","","25","","-9999.9","1","-9999.9","1"
"CANADA","BURWASH A , YT","71967","02100182","1966-1990","15","Number of Years used to Calculate Normal","mm","24","","24","","24","","24","","24","","24","","24","","23","","23","","23","","24","","25","","-9999.9","1","-9999.9","1"
"CANADA","SHINGLE POINT A , YT","71968","02100950","1957-1990","","Mean Daily Value","mm","0.0","","0.0","","0.0","","0.0","","2.0","","7.6","","10.3","","16.1","","8.5","","0.6","","0.1","","0.0","","20.7","","-9999.9","1"
"CANADA","SHINGLE POINT A , YT","71968","02100950","1957-1990","","Maximum Daily Value","mm","0.0","","0.8","","0.0","","0.0","","17.6","","31.2","","27.9","","56.6","","26.2","","12.7","","1.0","","0.4","","56.6","","-9999.9","1"
"CANADA","SHINGLE POINT A , YT","71968","02100950","1957-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","199181","","198204","","199181","","199180","","198123","","197722","","196410","","197322","","199118","","196306","","197910","","198524","","-9999","","-9999",""
"CANADA","SHINGLE POINT A , YT","71968","02100950","1957-1990","","Mean Monthly Value","mm","0.0","","0.0","","0.0","","0.0","","2.5","","20.4","","34.3","","48.1","","19.1","","0.6","","0.0","","0.0","","125.2","","125.0",""
"CANADA","SHINGLE POINT A , YT","71968","02100950","1957-1990","06","Number of Years used to Calculate Normal","mm","30","","30","","29","","30","","28","","29","","30","","29","","29","","28","","30","","30","","-9999.9","1","-9999.9","1"
"CANADA","SHINGLE POINT A , YT","71968","02100950","1957-1990","15","Number of Years used to Calculate Normal","mm","29","","29","","29","","30","","28","","29","","27","","28","","28","","28","","28","","30","","-9999.9","1","-9999.9","1"
"CANADA","KOMAKUK BEACH A , YT","71969","02100685","1958-1990","","Mean Daily Value","mm","0.1","","0.0","","0.0","","0.1","","0.4","","6.1","","9.4","","11.5","","4.2","","0.6","","0.3","","0.0","","13.3","","-9999.9","1"
"CANADA","KOMAKUK BEACH A , YT","71969","02100685","1958-1990","","Maximum Daily Value","mm","1.3","","1.0","","0.0","","2.0","","5.1","","28.7","","44.5","","44.5","","10.4","","7.4","","6.9","","0.0","","44.5","","-9999.9","1"
"CANADA","KOMAKUK BEACH A , YT","71969","02100685","1958-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","196329","","198204","","199181","","198211","","196820","","196324","","196230","","196124","","199118","","198508","","196507","","199181","","-9999","","-9999",""
"CANADA","KOMAKUK BEACH A , YT","71969","02100685","1958-1990","","Mean Monthly Value","mm","0.0","","0.0","","0.0","","0.0","","0.8","","12.9","","28.8","","32.0","","9.3","","0.7","","0.3","","0.0","","85.0","","84.8",""
"CANADA","KOMAKUK BEACH A , YT","71969","02100685","1958-1990","06","Number of Years used to Calculate Normal","mm","30","","30","","30","","30","","29","","29","","30","","29","","30","","30","","30","","30","","-9999.9","1","-9999.9","1"
"CANADA","KOMAKUK BEACH A , YT","71969","02100685","1958-1990","15","Number of Years used to Calculate Normal","mm","30","","30","","30","","30","","29","","27","","29","","29","","30","","30","","30","","30","","-9999.9","1","-9999.9","1"
"CANADA","VICTORIA MARINE , BC","71000","01018642","1967-1990","","Mean Daily Value","mm","39.5","","36.4","","25.0","","16.5","","12.7","","11.2","","10.7","","9.4","","17.7","","23.9","","39.5","","41.8","","64.2","","-9999.9","1"
"CANADA","VICTORIA MARINE , BC","71000","01018642","1967-1990","","Maximum Daily Value","mm","94.9","","119.9","","106.7","","41.4","","27.1","","25.9","","42.7","","23.1","","39.4","","44.7","","92.0","","100.8","","119.9","","-9999.9","1"
"CANADA","VICTORIA MARINE , BC","71000","01018642","1967-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","198223","","198623","","197205","","199103","","199031","","196801","","197212","","199130","","196710","","196727","","199009","","197502","","-9999","","-9999",""
"CANADA","VICTORIA MARINE , BC","71000","01018642","1967-1990","","Mean Monthly Value","mm","181.5","","138.4","","107.2","","75.2","","44.7","","28.6","","21.0","","26.5","","54.8","","121.3","","209.4","","189.0","","1197.7","","1197.6",""
"CANADA","VICTORIA MARINE , BC","71000","01018642","1967-1990","06","Number of Years used to Calculate Normal","mm","23","","23","","23","","23","","23","","24","","24","","24","","24","","24","","24","","24","","-9999.9","1","-9999.9","1"
"CANADA","VICTORIA MARINE , BC","71000","01018642","1967-1990","15","Number of Years used to Calculate Normal","mm","23","","23","","23","","23","","23","","24","","24","","23","","23","","23","","23","","24","","-9999.9","1","-9999.9","1"
"CANADA","CAMPBELL RIVER A , BC","71000","01021261","1965-1990","","Mean Daily Value","mm","30.6","","31.2","","31.5","","20.2","","18.3","","13.8","","14.6","","16.0","","19.1","","31.3","","37.5","","39.5","","52.4","","-9999.9","1"
"CANADA","CAMPBELL RIVER A , BC","71000","01021261","1965-1990","","Maximum Daily Value","mm","76.7","","76.5","","60.5","","44.5","","42.2","","37.3","","43.7","","49.2","","42.6","","59.8","","75.9","","84.8","","84.8","","-9999.9","1"
"CANADA","CAMPBELL RIVER A , BC","71000","01021261","1965-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","196817","","198322","","196715","","196903","","197727","","197210","","197416","","198405","","197907","","198221","","197108","","196823","","-9999","","-9999",""
"CANADA","CAMPBELL RIVER A , BC","71000","01021261","1965-1990","","Mean Monthly Value","mm","142.2","","124.6","","128.2","","72.7","","58.7","","49.3","","39.5","","42.9","","61.6","","154.2","","210.1","","196.8","","1281.0","","1280.8",""
"CANADA","CAMPBELL RIVER A , BC","71000","01021261","1965-1990","06","Number of Years used to Calculate Normal","mm","26","","26","","26","","26","","26","","26","","26","","26","","26","","26","","25","","26","","-9999.9","1","-9999.9","1"
"CANADA","CAMPBELL RIVER A , BC","71000","01021261","1965-1990","15","Number of Years used to Calculate Normal","mm","26","","26","","26","","26","","26","","25","","26","","25","","26","","25","","24","","26","","-9999.9","1","-9999.9","1"
"CANADA","CHATHAM POINT , BC","71000","01021480","1958-1990","","Mean Daily Value","mm","40.0","","39.7","","34.6","","26.3","","31.2","","29.4","","28.5","","35.2","","32.9","","52.0","","45.2","","44.9","","70.7","","-9999.9","1"
"CANADA","CHATHAM POINT , BC","71000","01021480","1958-1990","","Maximum Daily Value","mm","84.3","","78.0","","78.5","","52.5","","52.8","","61.6","","78.2","","113.8","","70.9","","90.7","","83.2","","83.8","","113.8","","-9999.9","1"
"CANADA","CHATHAM POINT , BC","71000","01021480","1958-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","196813","","197908","","197426","","197912","","198729","","198619","","197211","","197811","","197220","","196320","","199028","","199003","","-9999","","-9999",""
"CANADA","CHATHAM POINT , BC","71000","01021480","1958-1990","","Mean Monthly Value","mm","226.2","","200.5","","185.6","","123.6","","115.3","","110.1","","85.2","","97.3","","117.9","","271.9","","289.1","","264.9","","2087.6","","2087.6",""
"CANADA","CHATHAM POINT , BC","71000","01021480","1958-1990","06","Number of Years used to Calculate Normal","mm","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","-9999.9","1","-9999.9","1"
"CANADA","CHATHAM POINT , BC","71000","01021480","1958-1990","15","Number of Years used to Calculate Normal","mm","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","-9999.9","1","-9999.9","1"
"CANADA","BULL HARBOUR , BC","71000","01031110","1921-1988","","Mean Daily Value","mm","46.0","","40.5","","30.3","","32.4","","21.7","","22.5","","18.7","","20.9","","44.6","","50.8","","50.4","","52.5","","82.0","","-9999.9","1"
"CANADA","BULL HARBOUR , BC","71000","01031110","1921-1988","","Maximum Daily Value","mm","158.8","","157.2","","61.2","","101.2","","51.3","","65.3","","66.0","","48.0","","117.1","","99.4","","114.8","","167.1","","167.1","","-9999.9","1"
"CANADA","BULL HARBOUR , BC","71000","01031110","1921-1988","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","194129","","194103","","196629","","198619","","196707","","197614","","192413","","194008","","196230","","197722","","197512","","198010","","-9999","","-9999",""
"CANADA","BULL HARBOUR , BC","71000","01031110","1921-1988","","Mean Monthly Value","mm","256.3","","196.4","","166.9","","150.9","","101.1","","88.1","","71.0","","78.1","","158.1","","277.2","","300.1","","280.9","","2125.2","","2125.1",""
"CANADA","BULL HARBOUR , BC","71000","01031110","1921-1988","06","Number of Years used to Calculate Normal","mm","28","","28","","28","","28","","28","","28","","28","","28","","28","","28","","28","","28","","-9999.9","1","-9999.9","1"
"CANADA","BULL HARBOUR , BC","71000","01031110","1921-1988","15","Number of Years used to Calculate Normal","mm","28","","28","","28","","27","","28","","28","","28","","28","","28","","27","","27","","28","","-9999.9","1","-9999.9","1"
"CANADA","HOLBERG , BC","71000","01033480","1958-1990","","Mean Daily Value","mm","-9999.9","1","-9999.9","1","-9999.9","1","43.4","","33.9","","-9999.9","1","-9999.9","1","-9999.9","1","51.5","","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1"
"CANADA","HOLBERG , BC","71000","01033480","1958-1990","","Maximum Daily Value","mm","179.3","","95.0","","113.0","","104.6","","58.4","","76.6","","67.8","","58.9","","134.8","","150.6","","102.8","","125.3","","179.3","","-9999.9","1"
"CANADA","HOLBERG , BC","71000","01033480","1958-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","197129","","197403","","197806","","197304","","196028","","198305","","198310","","199107","","198005","","198918","","197806","","198010","","-9999","","-9999",""
"CANADA","HOLBERG , BC","71000","01033480","1958-1990","","Mean Monthly Value","mm","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","193.9","","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1"
"CANADA","HOLBERG , BC","71000","01033480","1958-1990","06","Number of Years used to Calculate Normal","mm","19","","18","","15","","20","","21","","19","","18","","19","","20","","19","","19","","17","","-9999.9","1","-9999.9","1"
"CANADA","HOLBERG , BC","71000","01033480","1958-1990","15","Number of Years used to Calculate Normal","mm","18","","17","","15","","17","","20","","18","","18","","18","","17","","19","","18","","15","","-9999.9","1","-9999.9","1"
"CANADA","EGG ISLAND , BC","71000","01062646","1965-1990","","Mean Daily Value","mm","57.7","","41.5","","40.0","","33.2","","30.7","","29.5","","20.8","","25.9","","58.7","","56.2","","61.6","","64.9","","101.4","","-9999.9","1"
"CANADA","EGG ISLAND , BC","71000","01062646","1965-1990","","Maximum Daily Value","mm","150.5","","81.8","","107.4","","69.1","","66.3","","78.8","","63.8","","83.6","","163.5","","110.0","","144.8","","188.6","","188.6","","-9999.9","1"
"CANADA","EGG ISLAND , BC","71000","01062646","1965-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","198426","","197413","","197022","","197003","","197015","","198711","","198002","","196731","","198005","","197722","","197512","","198010","","-9999","","-9999",""
"CANADA","EGG ISLAND , BC","71000","01062646","1965-1990","","Mean Monthly Value","mm","297.5","","208.4","","205.9","","183.0","","135.0","","120.0","","80.0","","98.0","","191.1","","324.2","","348.1","","320.8","","2511.9","","2512.0",""
"CANADA","EGG ISLAND , BC","71000","01062646","1965-1990","06","Number of Years used to Calculate Normal","mm","25","","25","","25","","25","","25","","25","","25","","25","","25","","25","","25","","26","","-9999.9","1","-9999.9","1"
"CANADA","EGG ISLAND , BC","71000","01062646","1965-1990","15","Number of Years used to Calculate Normal","mm","25","","25","","25","","25","","25","","25","","25","","25","","25","","25","","25","","26","","-9999.9","1","-9999.9","1"
"CANADA","ETHELDA BAY , BC","71000","01062745","1957-1990","","Mean Daily Value","mm","58.8","","48.0","","43.6","","51.4","","43.6","","33.0","","31.8","","35.6","","52.1","","67.4","","63.5","","55.5","","91.9","","-9999.9","1"
"CANADA","ETHELDA BAY , BC","71000","01062745","1957-1990","","Maximum Daily Value","mm","118.6","","107.4","","104.6","","103.4","","95.3","","88.6","","77.7","","76.2","","85.4","","111.5","","106.7","","129.8","","129.8","","-9999.9","1"
"CANADA","ETHELDA BAY , BC","71000","01062745","1957-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","198819","","196409","","196018","","196808","","197925","","198711","","197003","","196914","","198325","","197415","","197222","","195905","","-9999","","-9999",""
"CANADA","ETHELDA BAY , BC","71000","01062745","1957-1990","","Mean Monthly Value","mm","325.1","","278.4","","256.5","","262.0","","195.5","","142.3","","123.5","","156.7","","254.0","","424.1","","414.8","","325.9","","3158.8","","3158.8",""
"CANADA","ETHELDA BAY , BC","71000","01062745","1957-1990","06","Number of Years used to Calculate Normal","mm","30","","30","","30","","28","","28","","28","","28","","29","","30","","30","","30","","30","","-9999.9","1","-9999.9","1"
"CANADA","ETHELDA BAY , BC","71000","01062745","1957-1990","15","Number of Years used to Calculate Normal","mm","30","","29","","30","","28","","28","","28","","28","","29","","30","","30","","30","","30","","-9999.9","1","-9999.9","1"
"CANADA","POINTER ISLAND , BC","71000","01066202","1977-1989","","Maximum Daily Value","mm","72.6","","52.0","","45.6","","44.0","","56.8","","55.6","","51.0","","66.2","","187.0","","68.0","","76.6","","62.0","","187.0","","-9999.9","1"
"CANADA","POINTER ISLAND , BC","71000","01066202","1977-1989","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","198426","","198311","","198308","","198414","","198625","","198305","","198310","","197805","","198005","","198727","","198101","","198010","","-9999","","-9999",""
"CANADA","QUESNEL A , BC","71000","01096630","1946-1990","","Mean Daily Value","mm","3.9","","4.6","","6.1","","7.7","","13.5","","15.6","","15.1","","15.4","","13.9","","14.3","","7.5","","3.7","","25.4","","-9999.9","1"
"CANADA","QUESNEL A , BC","71000","01096630","1946-1990","","Maximum Daily Value","mm","26.2","","25.4","","14.2","","34.0","","36.8","","55.1","","30.5","","48.3","","36.6","","31.0","","25.4","","22.0","","55.1","","-9999.9","1"
"CANADA","QUESNEL A , BC","71000","01096630","1946-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","198930","","196202","","197310","","196913","","198125","","195525","","197023","","195023","","198405","","196220","","197201","","198010","","-9999","","-9999",""
"CANADA","QUESNEL A , BC","71000","01096630","1946-1990","","Mean Monthly Value","mm","6.1","","7.5","","14.1","","18.4","","42.0","","56.7","","59.0","","56.3","","49.0","","44.0","","17.3","","6.9","","377.2","","377.3",""
"CANADA","QUESNEL A , BC","71000","01096630","1946-1990","06","Number of Years used to Calculate Normal","mm","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","-9999.9","1","-9999.9","1"
"CANADA","QUESNEL A , BC","71000","01096630","1946-1990","15","Number of Years used to Calculate Normal","mm","30","","30","","30","","30","","30","","30","","30","","30","","30","","29","","29","","30","","-9999.9","1","-9999.9","1"
"CANADA","GOLDEN , BC","71000","01173210","1902-1990","","Mean Daily Value","mm","3.2","","4.1","","5.2","","7.5","","12.0","","12.8","","13.9","","13.4","","11.8","","10.3","","9.3","","4.4","","23.1","","-9999.9","1"
"CANADA","GOLDEN , BC","71000","01173210","1902-1990","","Maximum Daily Value","mm","53.3","","23.4","","25.4","","54.4","","49.5","","39.4","","47.0","","37.8","","58.9","","47.5","","50.8","","53.3","","58.9","","-9999.9","1"
"CANADA","GOLDEN , BC","71000","01173210","1902-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","191803","","196304","","190931","","195118","","196606","","193530","","191514","","198426","","190322","","195704","","190230","","191716","","-9999","","-9999",""
"CANADA","GOLDEN , BC","71000","01173210","1902-1990","","Mean Monthly Value","mm","5.4","","5.8","","9.9","","20.4","","33.6","","42.7","","48.2","","43.5","","38.3","","31.3","","20.3","","6.8","","306.3","","306.2",""
"CANADA","GOLDEN , BC","71000","01173210","1902-1990","06","Number of Years used to Calculate Normal","mm","29","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","29","","-9999.9","1","-9999.9","1"
"CANADA","GOLDEN , BC","71000","01173210","1902-1990","15","Number of Years used to Calculate Normal","mm","29","","30","","30","","30","","29","","29","","29","","29","","30","","30","","28","","29","","-9999.9","1","-9999.9","1"
"CANADA","DAWSON CREEK A , BC","71000","01182285","1968-1990","","Mean Daily Value","mm","0.5","","0.1","","0.9","","4.1","","12.9","","28.2","","23.8","","19.5","","13.4","","6.4","","2.0","","0.2","","37.6","","-9999.9","1"
"CANADA","DAWSON CREEK A , BC","71000","01182285","1968-1990","","Maximum Daily Value","mm","2.5","","0.8","","5.8","","11.8","","41.4","","75.2","","63.0","","57.4","","29.4","","18.6","","13.0","","3.0","","75.2","","-9999.9","1"
"CANADA","DAWSON CREEK A , BC","71000","01182285","1968-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","197716","","197712","","196805","","198616","","197631","","199011","","197415","","197603","","198512","","197701","","197120","","198924","","-9999","","-9999",""
"CANADA","DAWSON CREEK A , BC","71000","01182285","1968-1990","","Mean Monthly Value","mm","0.6","","0.1","","1.2","","7.6","","34.0","","79.8","","78.1","","61.5","","46.2","","15.6","","2.6","","0.5","","327.8","","327.8",""
"CANADA","DAWSON CREEK A , BC","71000","01182285","1968-1990","06","Number of Years used to Calculate Normal","mm","22","","22","","23","","23","","23","","23","","23","","23","","23","","23","","23","","23","","-9999.9","1","-9999.9","1"
"CANADA","DAWSON CREEK A , BC","71000","01182285","1968-1990","15","Number of Years used to Calculate Normal","mm","22","","22","","23","","23","","23","","23","","23","","23","","23","","22","","23","","23","","-9999.9","1","-9999.9","1"
"CANADA","WARE , BC","71000","01188696","1966-1987","","Mean Daily Value","mm","0.0","","0.0","","0.1","","3.3","","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","5.3","","1.2","","0.4","","-9999.9","1","-9999.9","1"
"CANADA","WARE , BC","71000","01188696","1966-1987","","Maximum Daily Value","mm","0.2","","0.0","","0.8","","14.0","","25.2","","28.2","","34.0","","42.6","","24.1","","10.9","","8.0","","6.7","","42.6","","-9999.9","1"
"CANADA","WARE , BC","71000","01188696","1966-1987","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","198119","","198778","","197529","","198320","","198415","","198018","","197528","","198127","","197311","","197417","","198006","","197917","","-9999","","-9999",""
"CANADA","WARE , BC","71000","01188696","1966-1987","","Mean Monthly Value","mm","-9999.9","1","0.0","","0.0","","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1"
"CANADA","WARE , BC","71000","01188696","1966-1987","06","Number of Years used to Calculate Normal","mm","20","","20","","20","","20","","18","","18","","18","","18","","17","","20","","20","","20","","-9999.9","1","-9999.9","1"
"CANADA","WARE , BC","71000","01188696","1966-1987","15","Number of Years used to Calculate Normal","mm","18","","20","","20","","15","","17","","17","","18","","17","","14","","16","","17","","17","","-9999.9","1","-9999.9","1"
"CANADA","BEAVER CREEK A , YT","71000","02100160","1968-1990","","Mean Daily Value","mm","-9999.9","1","0.0","","0.0","","0.4","","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","0.0","","0.0","","-9999.9","1","-9999.9","1"
"CANADA","BEAVER CREEK A , YT","71000","02100160","1968-1990","","Maximum Daily Value","mm","0.0","","0.0","","0.0","","3.8","","14.0","","35.2","","36.8","","35.6","","19.0","","11.1","","0.0","","0.0","","36.8","","-9999.9","1"
"CANADA","BEAVER CREEK A , YT","71000","02100160","1968-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","199181","","199178","","199181","","199020","","197722","","197721","","197519","","197216","","199003","","198604","","199180","","199181","","-9999","","-9999",""
"CANADA","BEAVER CREEK A , YT","71000","02100160","1968-1990","","Mean Monthly Value","mm","-9999.9","1","0.0","","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","0.0","","0.0","","-9999.9","1","-9999.9","1"
"CANADA","BEAVER CREEK A , YT","71000","02100160","1968-1990","06","Number of Years used to Calculate Normal","mm","19","","20","","20","","20","","19","","19","","19","","19","","19","","19","","21","","21","","-9999.9","1","-9999.9","1"
"CANADA","BEAVER CREEK A , YT","71000","02100160","1968-1990","15","Number of Years used to Calculate Normal","mm","19","","20","","19","","19","","16","","19","","19","","16","","17","","18","","21","","21","","-9999.9","1","-9999.9","1"
"CANADA","OLD CROW A , YT","71000","02100800","1951-1990","","Mean Daily Value","mm","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","0.0","","0.1","","-9999.9","1","-9999.9","1"
"CANADA","OLD CROW A , YT","71000","02100800","1951-1990","","Maximum Daily Value","mm","0.4","","0.0","","0.0","","2.3","","19.2","","58.4","","30.5","","21.6","","22.9","","7.2","","0.0","","2.5","","58.4","","-9999.9","1"
"CANADA","OLD CROW A , YT","71000","02100800","1951-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","198115","","199178","","199181","","198207","","198830","","195621","","195508","","197612","","195221","","198610","","199180","","197630","","-9999","","-9999",""
"CANADA","OLD CROW A , YT","71000","02100800","1951-1990","","Mean Monthly Value","mm","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","-9999.9","1","0.0","","0.1","","-9999.9","1","-9999.9","1"
"CANADA","OLD CROW A , YT","71000","02100800","1951-1990","06","Number of Years used to Calculate Normal","mm","18","","17","","17","","17","","18","","19","","19","","17","","18","","18","","21","","21","","-9999.9","1","-9999.9","1"
"CANADA","OLD CROW A , YT","71000","02100800","1951-1990","15","Number of Years used to Calculate Normal","mm","18","","17","","17","","16","","18","","19","","19","","16","","17","","18","","21","","21","","-9999.9","1","-9999.9","1"
"CANADA","ROSS RIVER A , YT","71000","02100940","1961-1990","","Mean Daily Value","mm","0.0","","0.0","","0.0","","2.4","","6.3","","10.5","","12.5","","8.7","","7.1","","2.9","","0.1","","0.0","","-9999.9","1","-9999.9","1"
"CANADA","ROSS RIVER A , YT","71000","02100940","1961-1990","","Maximum Daily Value","mm","0.0","","0.0","","0.0","","27.9","","21.0","","22.0","","27.2","","18.3","","22.9","","15.4","","3.3","","0.0","","27.9","","-9999.9","1"
"CANADA","ROSS RIVER A , YT","71000","02100940","1961-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","199181","","199178","","199181","","197122","","198620","","199023","","197710","","197723","","197205","","198902","","196901","","199181","","-9999","","-9999",""
"CANADA","ROSS RIVER A , YT","71000","02100940","1961-1990","","Mean Monthly Value","mm","0.0","","0.0","","0.0","","3.4","","16.1","","31.9","","46.9","","34.9","","22.6","","5.3","","0.2","","0.0","","161.3","","161.3",""
"CANADA","ROSS RIVER A , YT","71000","02100940","1961-1990","06","Number of Years used to Calculate Normal","mm","22","","23","","21","","23","","25","","23","","24","","25","","23","","24","","24","","25","","-9999.9","1","-9999.9","1"
"CANADA","ROSS RIVER A , YT","71000","02100940","1961-1990","15","Number of Years used to Calculate Normal","mm","22","","23","","21","","20","","21","","23","","22","","20","","22","","21","","22","","25","","-9999.9","1","-9999.9","1"
"CANADA","CONTWOYTO LAKE , NT","71000","02200850","1959-1981","","Mean Daily Value","mm","0.0","","0.0","","0.0","","0.5","","3.6","","9.6","","11.0","","12.4","","8.1","","1.7","","0.0","","0.0","","18.9","","-9999.9","1"
"CANADA","CONTWOYTO LAKE , NT","71000","02200850","1959-1981","","Maximum Daily Value","mm","0.0","","0.0","","0.0","","5.2","","16.0","","28.4","","24.6","","40.4","","27.6","","8.6","","0.0","","0.0","","40.4","","-9999.9","1"
"CANADA","CONTWOYTO LAKE , NT","71000","02200850","1959-1981","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","198181","","198178","","198181","","197829","","197924","","195914","","196913","","197512","","198108","","196711","","198151","","198181","","-9999","","-9999",""
"CANADA","CONTWOYTO LAKE , NT","71000","02200850","1959-1981","","Mean Monthly Value","mm","0.0","","0.0","","0.0","","0.5","","6.2","","22.2","","36.2","","40.1","","21.5","","2.0","","0.0","","0.0","","128.6","","128.7",""
"CANADA","CONTWOYTO LAKE , NT","71000","02200850","1959-1981","06","Number of Years used to Calculate Normal","mm","21","","21","","21","","21","","21","","21","","21","","21","","21","","21","","21","","21","","-9999.9","1","-9999.9","1"
"CANADA","CONTWOYTO LAKE , NT","71000","02200850","1959-1981","15","Number of Years used to Calculate Normal","mm","20","","21","","21","","21","","21","","21","","21","","21","","21","","21","","21","","21","","-9999.9","1","-9999.9","1"
"CANADA","FORT GOOD HOPE A , NT","71000","02201400","1944-1990","","Mean Daily Value","mm","0.1","","0.0","","0.0","","0.5","","4.0","","10.8","","14.3","","12.7","","7.7","","1.4","","0.0","","0.0","","-9999.9","1","-9999.9","1"
"CANADA","FORT GOOD HOPE A , NT","71000","02201400","1944-1990","","Maximum Daily Value","mm","2.0","","0.0","","0.0","","12.7","","17.3","","40.6","","52.8","","59.2","","27.4","","7.6","","0.3","","0.0","","59.2","","-9999.9","1"
